Station	Date	T	Tmin	Tmax	Prec	W10	RHUM	Solar
		degC	degC	degC	mm/day	m/s	%	MJ/m2/day
8	1994.01.01	2.4	1	2.6	8	3	95	
8	1994.01.02	0.6	0	1	0.1	2.5	95	
8	1994.01.03	-0.4	-1.1	-0.2	0.2	2.3	95	
8	1994.01.04	-1.1	-1.8	0.6	1.2	3.1	92	
8	1994.01.05	0.6	0.2	1.1	6.6	2.4	96	
8	1994.01.06	1.2	0.3	2.5	2.4	3	95	
8	1994.01.07	0.8	-0.3	1.2	0	2.5	97	
8	1994.01.08	2.6	1.2	4.7	0	2.3	92	
8	1994.01.09	0.5	-2.4	1.6	0	1.9	94	
8	1994.01.10	-0.7	-2	0.4	0	2.6	91	
8	1994.01.11	0.6	0.2	1	1.1	2.5	98	
8	1994.01.12	1.7	1	3	0.2	3.3	100	
8	1994.01.13	3.5	2	5	5.4	4.6	97	
8	1994.01.14	4.2	3	5.4	0	4.4	93	
8	1994.01.15	2	0.7	2.8	2.5	4.3	95	
8	1994.01.16	1.2	-0.1	2.3	1.5	3.8	96	
8	1994.01.17	-1.7	-5.1	-0.4	0.3	2	83	
8	1994.01.18	-4.7	-6.8	-2.4	0	4.4	87	
8	1994.01.19	-0.8	-2.3	0.7	2.5	3.3	94	
8	1994.01.20	-2.6	-3.9	0.2	3.7	4.1	91	
8	1994.01.21	-0.3	-2.5	0.4	0.6	4.1	90	
8	1994.01.22	1.5	0.9	2.5	1.1	6.4	95	
8	1994.01.23	2.3	0.7	3	2.8	6	85	
8	1994.01.24	0.8	-0.8	2	12.7	8	86	
8	1994.01.25	-1	-2.1	0.3	3.1	6.6	79	
8	1994.01.26	-0.2	-1.9	1.6	3.6	3.3	93	
8	1994.01.27	1.2	0.6	3.4	3.7	6.1	89	
8	1994.01.28	2.4	0.6	3.5	16	6.9	92	
8	1994.01.29	-2.1	-4.3	-0.2	0.4	5.6	77	
8	1994.01.30	-5	-7	-0.6	2.2	5	78	
8	1994.01.31	0.7	0.2	1.5	2.7	4.1	94	
8	1994.02.01	-1.3	-4.8	0.7	1.6	3.4	91	
8	1994.02.02	-3.2	-5.1	0.9	3	2.6	90	
8	1994.02.03	0.7	-0.4	0.9	2.7	3.5	96	
8	1994.02.04	-5.3	-9.3	-3.6	0.5	3.4	89	
8	1994.02.05	-10.4	-13	-9.6	0.2	2	90	
8	1994.02.06	-10.7	-13.3	-7.5	0.3	3.3	84	
8	1994.02.07	-6.5	-9	-4.4	0	3.5	79	
8	1994.02.08	-8.5	-11.9	-4.8	0	3	63	
8	1994.02.09	-5.9	-7.3	-3.6	4.1	2.8	80	
8	1994.02.10	-2.1	-4.6	-0.8	1.4	1.3	93	
8	1994.02.11	-5	-12.4	-2.6	0.5	2.4	87	
8	1994.02.12	-16.3	-20.1	-14	0	3.5	56	
8	1994.02.13	-18.7	-22.5	-14.1	0	2.1	60	
8	1994.02.14	-15.9	-24.6	-9	0	2.4	63	
8	1994.02.15	-14.3	-21.2	-6.4	0	0.6	84	
8	1994.02.16	-12.6	-18.6	-5.1	0	1.4	74	
8	1994.02.17	-8.2	-12.6	-3.6	0	1	70	
8	1994.02.18	-8.2	-12.9	-3.2	0	1	73	
8	1994.02.19	-4.9	-7.2	-2.6	0.2	1.8	86	
8	1994.02.20	-2.1	-3.1	-1	1.8	2.3	92	
8	1994.02.21	-2.2	-4.4	-0.1	0	2.4	76	
8	1994.02.22	-2.1	-4.2	-1.2	0.5	3.4	79	
8	1994.02.23	-3.1	-4.3	-1.6	7	4.9	92	
8	1994.02.24	-2.9	-4.8	-1.1	1.3	5.5	89	
8	1994.02.25	-2.2	-4.2	-0.9	0	2.1	81	
8	1994.02.26	-5.5	-9.6	-2.8	0	1.8	66	
8	1994.02.27	-5.3	-7.1	-3.3	1.4	2.8	86	
8	1994.02.28	-1.6	-3	0.5	0.7	2.9	93	
8	1994.03.01	-4.9	-6.8	-4.1	1.3	2.5	85	
8	1994.03.02	-5.8	-6.9	-4.4	0	3.6	76	
8	1994.03.03	-4.8	-5.9	-3.4	0.4	2	85	
8	1994.03.04	-4.8	-6.2	-3.2	0.9	1.5	85	
8	1994.03.05	-7.5	-12.7	-3.4	0	0.6	81	
8	1994.03.06	-6.1	-10.8	1.8	0.8	3.9	85	
8	1994.03.07	1.9	0	4.2	1.7	5.3	81	
8	1994.03.08	1.9	1.3	2.6	2.1	2.1	97	
8	1994.03.09	2.5	1.7	3.3	0.7	4.6	96	
8	1994.03.10	3.8	1.4	5.7	2.5	4.3	96	
8	1994.03.11	3	1.3	6	0	4.9	72	
8	1994.03.12	4.2	-1.1	9.3	0	4.1	63	
8	1994.03.13	3.5	1.2	5	6.6	3.3	90	
8	1994.03.14	2.5	0.3	3.9	5.2	6.5	82	
8	1994.03.15	2.1	0.6	3.6	5.8	6.6	85	
8	1994.03.16	1.2	-1	3.1	1.1	4.8	77	
8	1994.03.17	0.7	-0.2	3	2.8	4.6	87	
8	1994.03.18	-0.2	-1.3	0.8	3.9	4.5	87	
8	1994.03.19	0	-2.4	2.1	6	4.1	95	
8	1994.03.20	0.4	-1.5	1.2	4.6	6.1	77	
8	1994.03.21	-1.6	-5.5	2.4	0	3.8	69	
8	1994.03.22	-0.8	-3.9	3.7	0	3.4	65	
8	1994.03.23	1.6	-2	7	0	5.3	69	
8	1994.03.24	7.4	3.8	10	15	8.5	79	
8	1994.03.25	2.7	1	4.6	9	7.4	85	
8	1994.03.26	1.7	-1.9	3	9	3.9	91	
8	1994.03.27	-1.3	-2.1	-0.1	0.5	4	74	
8	1994.03.28	-1.4	-3.8	1.2	0.2	2.6	71	
8	1994.03.29	-0.2	-4.5	4.6	1.4	4.5	69	
8	1994.03.30	5.7	1.7	9.6	1.3	4.8	78	
8	1994.03.31	6.5	0.1	13.6	0	3	67	
8	1994.04.01	11.9	7.3	17.3	0.1	3.9	70	
8	1994.04.02	9.7	6.3	12.7	3.7	3.3	79	
8	1994.04.03	5.3	3.8	6	17.8	4.4	95	
8	1994.04.04	4.5	1.3	8.5	10.1	4.9	79	
8	1994.04.05	6.3	3.8	10.7	0	4.4	71	
8	1994.04.06	3.5	0.1	7.7	14.3	2.4	89	
8	1994.04.07	7.6	4.3	8.4	11.6	3.5	91	
8	1994.04.08	3.2	-0.2	6	4.5	3.8	87	
8	1994.04.09	3.8	-1.5	9.4	0	1.8	73	
8	1994.04.10	6.3	2.6	10.9	0.4	3.3	67	
8	1994.04.11	9.4	5.2	14.9	0	2.6	71	
8	1994.04.12	11	6.7	15.4	0	3.3	67	
8	1994.04.13	10	8.5	11.3	1	3.9	81	
8	1994.04.14	9.4	6	13.2	0	4.1	72	
8	1994.04.15	7.8	4.3	10	0	4.9	73	
8	1994.04.16	4.5	1.1	6.5	0	3	79	
8	1994.04.17	5.2	-2.5	12.9	0	1.4	71	
8	1994.04.18	3.9	0.4	6.3	18.1	5	86	
8	1994.04.19	2.9	0.8	5.8	0	5.9	69	
8	1994.04.20	4.9	0.1	9.9	0	1.4	67	
8	1994.04.21	8.2	1.5	14.8	0	2.9	54	
8	1994.04.22	11.2	4.8	17.6	0	1.9	53	
8	1994.04.23	10.9	5	16	0	1.6	59	
8	1994.04.24	9.6	5.1	14.2	0	2	65	
8	1994.04.25	10	9	10.8	7.6	2.1	77	
8	1994.04.26	11.2	9.2	13.3	4.4	2	92	
8	1994.04.27	11.5	9.5	14.1	1.6	2	90	
8	1994.04.28	12	6.3	18.2	0	1.8	85	
8	1994.04.29	12.6	8.1	17	0	2.5	83	
8	1994.04.30	13.5	9.6	17.3	0	2.8	79	
8	1994.05.01	9.6	4.4	10.7	1.2	4.6	74	
8	1994.05.02	4.9	-0.2	9.5	0	5.9	56	
8	1994.05.03	4.4	-0.9	9.3	0	4.3	57	
8	1994.05.04	5.8	0.4	10.7	0	3.1	52	
8	1994.05.05	7.6	0	14	0	2.3	51	
8	1994.05.06	8.9	2.8	15.5	0	2.6	56	
8	1994.05.07	9.8	1.2	16	0	2.1	55	
8	1994.05.08	12.5	4.9	18.7	0	2.8	52	
8	1994.05.09	10.5	5.6	14.7	0	2.5	59	
8	1994.05.10	11.3	5.4	16.6	0	2.9	59	
8	1994.05.11	12.8	10	16.2	0	3.8	57	
8	1994.05.12	13.7	6.5	19.3	0	2	60	
8	1994.05.13	12.7	7.1	17.7	0	2.3	61	
8	1994.05.14	12.5	5	18.7	0	2.6	49	
8	1994.05.15	14.9	8.4	20.9	0.8	2.9	65	
8	1994.05.16	13.4	10	13.9	4	4.6	88	
8	1994.05.17	12.8	5.6	17.8	0	1.3	78	
8	1994.05.18	17	11.7	22.3	5.5	3.5	73	
8	1994.05.19	13.7	10.6	17.9	10.9	3.4	90	
8	1994.05.20	15.4	12.5	19.9	15.6	2.4	86	
8	1994.05.21	9.8	6.1	12.7	2.9	4.9	84	
8	1994.05.22	8.5	3.1	12.8	0	2.4	66	
8	1994.05.23	10.8	8.6	14.5	2.4	1.8	84	
8	1994.05.24	12.3	8	14.9	1.9	2.9	77	
8	1994.05.25	12.7	5.2	18.5	0	1.1	69	
8	1994.05.26	15.2	10	19.8	4.9	2.3	71	
8	1994.05.27	11.4	5.6	13.9	13.9	3.1	90	
8	1994.05.28	8.4	2.9	12.8	0	1.9	64	
8	1994.05.29	10.9	5.8	15.7	0	2	66	
8	1994.05.30	9.2	6.5	12.5	5.5	1.8	79	
8	1994.05.31	8.6	5	13.9	3.3	3.9	78	
8	1994.06.01	11	8.1	15	3.9	6.4	74	
8	1994.06.02	13.4	7.2	19.7	0	2.8	67	
8	1994.06.03	15.1	12.7	18.5	2.7	3.8	73	
8	1994.06.04	14.6	8.8	19.1	1.7	3.3	80	
8	1994.06.05	11.9	6.6	17.6	0	1.5	83	
8	1994.06.06	13.1	9.5	16.3	0	5	75	
8	1994.06.07	11.8	7.2	16.2	0	6.3	70	
8	1994.06.08	15.4	12.2	18.6	0	3.3	72	
8	1994.06.09	17.2	9.8	24	0	3	65	
8	1994.06.10	11.7	9.3	14.5	3.1	3	82	
8	1994.06.11	14.5	10	18.8	0	3.8	65	
8	1994.06.12	14.2	8.4	19	0	4.3	53	
8	1994.06.13	14.6	10	19.8	0.6	4.4	70	
8	1994.06.14	13.2	6.8	17.8	0	2.5	59	
8	1994.06.15	14.2	8.3	17.5	0	4.3	63	
8	1994.06.16	9.6	6.8	13.8	4.8	4.5	76	
8	1994.06.17	8.7	5.1	11.7	1.8	3.9	78	
8	1994.06.18	10	4.3	15.7	0.4	3.1	72	
8	1994.06.19	11.7	9.8	13.1	4.2	3.4	87	
8	1994.06.20	13.3	10.2	15.6	1.9	6.4	73	
8	1994.06.21	14.5	8.6	20.1	0	2.9	66	
8	1994.06.22	15.1	10.1	19.9	0.1	3.9	76	
8	1994.06.23	13.2	11.1	15	1.3	7.6	71	
8	1994.06.24	11.8	10	14.1	0	7.9	60	
8	1994.06.25	14.1	8.8	19.6	0	3.6	63	
8	1994.06.26	18.5	10.1	26.5	0	3.3	61	
8	1994.06.27	19.6	14.2	24.8	0	3.8	65	
8	1994.06.28	18	10.5	24	0	3	68	
8	1994.06.29	19	11.8	24.9	0	2.1	69	
8	1994.06.30	17.7	11.1	20.8	0.7	2.9	76	
8	1994.07.01	14.4	9	19	0	3.4	76	
8	1994.07.02	15.3	10	20.5	0	3.9	63	
8	1994.07.03	15.9	8.9	21.9	0	3	63	
8	1994.07.04	18.3	11.5	24.6	0	2.9	63	
8	1994.07.05	16.9	10.5	21.4	0	3.1	60	
8	1994.07.06	15.7	9.2	20.8	0	2	61	
8	1994.07.07	16.1	7.6	22.5	0	1.3	60	
8	1994.07.08	17	9.4	24.8	2.3	2.5	66	
8	1994.07.09	17.4	14	21.6	9.5	1.9	77	
8	1994.07.10	19.8	11.4	26.5	0	1.9	67	
8	1994.07.11	22	14.4	28	0	1.8	60	
8	1994.07.12	23.2	14.8	29.5	0	2.1	58	
8	1994.07.13	23.8	15.6	30	0	2	59	
8	1994.07.14	24.8	18.3	30.6	0	1.9	52	
8	1994.07.15	24.2	15.4	31.1	0	1.4	52	
8	1994.07.16	24.8	16.1	31.5	0	2.3	54	
8	1994.07.17	20.9	15.1	24.4	0	3.4	70	
8	1994.07.18	17.4	12.4	21	0	2.1	64	
8	1994.07.19	16	10.7	20	0	3.3	63	
8	1994.07.20	16.7	10	22.7	0	3	62	
8	1994.07.21	19.9	12.1	26.1	0	4.6	55	
8	1994.07.22	18.5	12.4	24.3	0	2.3	73	
8	1994.07.23	20.5	13.2	26	0	2.5	61	
8	1994.07.24	21.3	12.2	27.8	0	1.6	55	
8	1994.07.25	21.7	12.4	28.7	0	1.6	56	
8	1994.07.26	22.4	14.5	28.8	0	1.9	55	
8	1994.07.27	23.3	13.7	30.5	0	1.6	54	
8	1994.07.28	23.6	12.9	31.4	0	1.1	52	
8	1994.07.29	25.2	15.1	32.8	0	0.9	51	
8	1994.07.30	25.6	15	33.2	0	1.1	52	
8	1994.07.31	26.7	17.8	33.8	0	1.3	53	
8	1994.08.01	24.8	16.7	30.8	0	1.8	61	
8	1994.08.02	25.3	17.7	31.4	0	1.8	60	
8	1994.08.03	23.5	17.1	29.3	0	1.8	66	
8	1994.08.04	23.8	18.2	29.9	0	1.3	62	
8	1994.08.05	24.3	17.3	31.5	0	1.3	63	
8	1994.08.06	24.8	16.8	32.2	0	2.6	53	
8	1994.08.07	22.9	17.6	26.9	1	2.9	67	
8	1994.08.08	18.7	13.2	24	0.3	1	76	
8	1994.08.09	19.5	13.3	25.3	3	1	72	
8	1994.08.10	19.6	16.8	24.4	3.6	3.4	73	
8	1994.08.11	18.9	12.1	24.7	0	2.1	61	
8	1994.08.12	17.2	11.9	20.2	0	2.5	69	
8	1994.08.13	18.6	14.8	23.1	0	2.9	70	
8	1994.08.14	15.6	10.5	18.2	4.7	5.1	76	
8	1994.08.15	11.7	8	15.8	0	4	81	
8	1994.08.16	16.3	13.9	21	1.5	3.5	80	
8	1994.08.17	15.7	9.6	21.2	0	0.9	69	
8	1994.08.18	16.8	13.2	21.2	0.8	3.9	67	
8	1994.08.19	13.6	10	16.5	7.3	2.5	86	
8	1994.08.20	11.7	9.8	14.2	4.2	2	91	
8	1994.08.21	14.2	10	19.1	2.7	1.9	88	
8	1994.08.22	15.4	11.4	19.3	0	3.4	77	
8	1994.08.23	14.6	9.7	20.2	0	1.9	81	
8	1994.08.24	14.9	11.8	17.7	1	1.3	87	
8	1994.08.25	14.9	9.1	20.1	0	2.6	69	
8	1994.08.26	15.5	10.1	20.9	0	2.8	60	
8	1994.08.27	16.1	9.4	22.5	0	1.5	59	
8	1994.08.28	17.3	13.4	20.9	0	4.5	59	
8	1994.08.29	14.6	9.4	19.8	0.9	3.1	70	
8	1994.08.30	12.6	9.1	16.5	0.9	4.1	77	
8	1994.08.31	13.4	7.5	20.3	0	1.6	72	
8	1994.09.01	14.6	6.2	21.5	0	2.6	64	
8	1994.09.02	15	13.5	16	0	3.4	76	
8	1994.09.03	17.1	13.7	23.3	0	2.1	90	
8	1994.09.04	15.5	11.8	18.2	9.3	2.6	87	
