wgn_id	month	tmp_max_ave	tmp_min_ave	tmp_max_sd	tmp_min_sd	pcp_ave	pcp_sd	pcp_skew	wet_dry	wet_wet	pcp_days	pcp_hhr	slr_ave	dew_ave	wnd_ave
8	1	-1.27	-5.4	5.31	6.91	41.76	2.43	3.36	0.37	0.71	17.61	18.99	1.87	0.87	3.75
8	2	-0.7	-5.89	5.22	6.94	38.23	2.16	2.42	0.44	0.73	17.22	14.38	4.24	0.84	3.56
8	3	4.2	-2.63	4.8	4.71	38.54	2.44	3.09	0.32	0.67	15.39	17.33	8.55	0.78	3.37
8	4	12.33	2.86	5.69	3.94	39.84	3.18	3.7	0.27	0.58	11.7	25.35	13.49	0.68	2.9
8	5	17.7	7.14	5.01	3.91	58.63	4.27	4.25	0.33	0.58	13.61	41.16	17.83	0.68	2.84
8	6	20.37	10.71	4.24	3.0	72.52	5.31	3.7	0.35	0.59	13.83	40.34	18.92	0.72	2.76
8	7	23.07	13.47	4.12	2.88	99.35	7.32	3.75	0.32	0.63	14.26	51.7	17.88	0.74	2.55
8	8	22.15	12.34	3.82	2.89	71.46	6.22	5.3	0.34	0.55	13.43	52.81	14.99	0.75	2.45
8	9	16.79	8.27	4.06	3.42	56.64	5.3	5.78	0.29	0.6	12.52	55.78	9.94	0.79	2.69
8	10	10.32	4.15	4.18	4.11	53.26	3.87	3.95	0.29	0.64	13.87	32.2	4.97	0.84	3.1
8	11	3.96	0.08	4.47	4.77	44.73	2.98	3.49	0.42	0.65	16.3	26.91	1.96	0.88	3.39
8	12	-0.42	-4.18	5.04	6.25	44.57	2.6	2.99	0.45	0.69	17.87	18.8	1.27	0.88	3.48
