"nlayers","snam","hydgrp","anion_excl","sol_zmx","sol_crk","sol_bd1","sol_z1","sol_awc1","sol_cbn1","sol_k1","clay1","sand1","silt1","rock1","sol_alb1","sol_ec1","usle_k1","sol_bd2","sol_z2","sol_awc2","sol_cbn2","sol_k2","clay2","sand2","silt2","rock2","sol_ec2","usle_k2","sol_bd3","sol_z3","sol_awc3","sol_cbn3","sol_k3","clay3","sand3","silt3","rock3","sol_ec3","usle_k3","sol_no31","sol_no32","sol_no33","sol_orgn1","sol_orgn2","sol_labp1","sol_orgn3","sol_labp2","sol_labp3","sol_orgp1","sol_orgp2","prerco_sub","sol_orgp3","sol_alb2","sol_ph1","id","sol_alb3"
3,"E-mt","B",0.5,1000,0.5,0.7,250,0.35,30,36,50,0,0,0,0.01,0,0.01,0.7,750,0.35,30,36,50,0,0,0,0,0.01,0.7,1500,0.35,30,36,50,0,0,0,0,0.01,17.7,9.5,5.4,3000,2000,0,1000,0,0,327,299.81,10,285.83,0.01,0,1,0.01
NA,"JEZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
3,"M/gl","A",0.5,1000,0.5,0.7,250,0.3,17.4,252,5,89,6,0,0.22,0,0.1,1.56,750,0.13,0.6,2.42,11.2,67.8,26.9,0,0,0.15,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,11,4.8,2.5,1102.5,477.8,0,250.3,0,0,324.99,294.27,10,298.75,0.16,0,3,0.16
3,"M/pgl","A",0.5,1000,0.5,0.7,250,0.3,17.4,252,5,89,6,0,0.22,0,0.1,1.65,750,0.13,0.52,40,7,84,9,0,0,0.13,1.65,1500,0.13,0.52,40,7,84,9,0,0,0.13,10.8,4.6,2.5,1078.4,457.5,0,247.3,0,0,325.25,305.72,10,302.93,0.2,0,4,0.2
3,"M/pl","A",0.5,1000,0.5,0.7,250,0.3,17.4,252,5,89,6,0,0.22,0,0.1,1.5,750,0.19,0.8,90,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,10.5,3.8,2.5,1046,375.3,0,248.6,0,0,329.67,322.84,10,343.87,0.16,0,5,0.16
3,"M/zp","B",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,1.55,750,0.11,0.29,100,5,89,6,0,0,0.1,1.63,1500,0.09,0.06,100,5,89,6,0,0,0.1,8.5,3.3,2.1,846.8,331.8,0,214.1,0,0,612.78,338.66,10,307.34,0.22,0,6,0.22
3,"Tn","B",0.5,1000,0.5,0.64,200,0.34,40,120,80,0,0,0,0.01,0,0.03,0.64,650,0.3,36,120,80,0,0,0,0,0.01,0.64,1500,0.28,32,120,80,0,0,0,0,0.01,17.5,9.6,5.4,5000,4000,0,3000,0,0,328.19,297.41,10,277.53,0.01,0,7,0.01
3,"Tn//gl","B",0.5,1000,0.5,0.64,200,0.34,40,120,80,0,0,0,0.01,0,0.03,0.64,650,0.3,36,120,80,0,0,0,0,0.01,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,10.5,5.4,3.3,4000,540.2,0,329,0,0,328.53,297.83,10,308.03,0.01,0,8,0.16
3,"Tn//pl","B",0.5,1000,0.5,0.64,200,0.34,40,120,80,0,0,0,0.01,0,0.03,0.64,650,0.3,36,120,80,0,0,0,0,0.01,1.56,1500,0.09,0.89,85,2,94,4,0,0,0.08,12.4,6.7,3.9,4000,665.9,0,390.5,0,0,329.13,297.83,10,308.18,0.01,0,9,0.24
3,"gc","D",0.5,1000,0.5,1.73,250,0.11,0.3,7.5,18.7,22.7,58.6,0,0.17,0,0.1,1.7,750,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,1.7,1500,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,10.1,3.4,2.4,1009.5,342,0,242.5,0,0,619.05,342.07,10,305.27,0.17,0,10,0.17
3,"gl","C",0.5,1000,0.5,1.51,250,0.15,0.7,2.52,11.2,67.8,26.9,0,0.16,0,0.15,1.56,750,0.13,0.6,2.42,11.2,67.8,26.9,0,0,0.15,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,12.6,3.7,2.4,1261.5,369,0,238.6,0,0,612.41,332.14,10,282.97,0.16,0,11,0.16
3,"gl//gs","C",0.5,1000,0.5,1.51,250,0.15,0.7,2.52,11.2,67.8,26.9,0,0.16,0,0.15,1.56,750,0.13,0.6,2.42,11.2,67.8,26.9,0,0,0.15,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,12.1,3.4,2.3,1208.6,336.1,0,231.8,0,0,611.57,335.35,10,305.19,0.16,0,12,0.16
3,"gl/gc","C",0.5,1000,0.5,1.51,250,0.15,0.7,2.52,11.2,67.8,26.9,0,0.16,0,0.15,1.7,750,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,1.7,1500,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,12.3,3.2,2.4,1225.1,324.6,0,237.3,0,0,618.09,342.67,10,305.6,0.17,0,13,0.17
3,"gl/gs","C",0.5,1000,0.5,1.51,250,0.15,0.7,2.52,11.2,67.8,26.9,0,0.16,0,0.15,1.67,750,0.18,0.3,7.5,9,59.4,31.6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,11.7,3.2,2.2,1170.5,322.7,0,224.4,0,0,611.57,335.19,10,309.53,0.22,0,14,0.16
3,"gl/pl","C",0.5,1000,0.5,1.51,250,0.15,0.7,2.52,11.2,67.8,26.9,0,0.16,0,0.15,1.5,750,0.19,0.8,90,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,11.5,3.2,2.3,1145.6,324.5,0,234.3,0,0,617.95,362.4,10,326.15,0.16,0,15,0.16
3,"glp","C",0.5,1000,0.5,1.51,250,0.2,2,1.8,12.2,63.8,30,0,0.16,0,0.18,1.51,750,0.18,2,1.8,12.2,63.8,30,0,0,0.15,1.51,1500,0.16,0.3,1.8,12.2,63.8,30,0,0,0.15,12.9,4,2.6,1288.5,398,0,258,0,0,613.98,339.68,10,338.47,0.16,0,16,0.16
3,"glp//gs","B",0.5,1000,0.5,1.51,250,0.2,2,1.8,12.2,63.8,30,0,0.16,0,0.18,1.51,750,0.18,2,1.8,12.2,63.8,30,0,0,0.15,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,9.8,4.2,3.1,983.3,421.9,0,314.4,0,0,612.24,325.8,10,338.08,0.16,0,17,0.16
3,"glp/gs","C",0.5,1000,0.5,1.51,250,0.2,2,1.8,12.2,63.8,30,0,0.16,0,0.18,1.67,750,0.18,0.3,7.5,9,59.4,31.6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,12.1,3.2,2.2,1209.6,323.9,0,219.4,0,0,612.47,335.19,10,343.45,0.22,0,18,0.16
3,"glp/gsp","C",0.5,1000,0.5,1.51,250,0.2,2,1.8,12.2,63.8,30,0,0.16,0,0.18,1.67,750,0.18,0.3,7.5,9,59.4,31.6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,12.1,3.2,2.2,1209.6,323.9,0,219.4,0,0,612.47,335.19,10,343.45,0.22,0,19,0.16
3,"gs","C",0.5,1000,0.5,1.67,250,0.18,0.3,7.5,9,59.4,31.6,0,0.22,0,0.1,1.67,750,0.18,0.3,7.5,9,59.4,31.6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,11.7,3.2,2.3,1174.4,322.9,0,230,0,0,611.57,335.19,10,309.53,0.22,0,20,0.16
3,"gsp/gc","C",0.5,1000,0.5,1.67,250,0.18,0.3,7.5,9,59.4,31.6,0,0.22,0,0.1,1.7,750,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,1.7,1500,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,12.3,3.2,2.4,1230,323.7,0,238.6,0,0,618.09,342.67,10,305.6,0.17,0,21,0.17
3,"i","D",0.5,1000,0.5,1.3,250,0.13,0.95,27.4,60,20,20,0,0.22,0,0.41,1.4,750,0.12,0.29,14.7,60,20,20,0,0,0.41,1.5,1500,0.11,0.13,10.4,60,20,20,0,0,0.41,10.2,3.7,2.6,1018.2,368.2,0,256.2,0,0,614.2,334.3,10,316.21,0.22,0,22,0.22
3,"i/gc","D",0.5,1000,0.5,1.3,250,0.13,0.95,27.4,60,20,20,0,0.22,0,0.41,1.7,750,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,1.7,1500,0.1,0.2,7.5,18.7,30.7,50.6,0,0,0.1,10.2,3.5,2.3,1022.4,351.6,0,234.9,0,0,616.7,341.36,10,306.47,0.17,0,23,0.17
3,"ms","B",0.5,1000,0.5,0.4,250,0.34,40,120,80,0,0,0,0.01,0,0.03,0.68,750,0.3,36,120,80,0,0,0,0,0.01,0.65,1500,0.28,32,120,80,0,0,0,0,0.01,17.7,9.6,5.4,1773.8,958,0,540.9,0,0,328.19,297.82,10,277.53,0.01,0,24,0.01
3,"pg/gl","B",0.5,1000,0.5,1.54,250,0.11,1.45,20,7,84,9,0,0.2,0,0.16,1.56,750,0.13,0.7,2.52,11.2,67.8,26.9,0,0,0.15,1.62,1500,0.11,0.4,2.4,11.2,67.8,26.9,0,0,0.15,10.5,4.7,2.6,1048.3,465.9,0,263.6,0,0,612.18,325.9,10,286.1,0.16,0,25,0.16
3,"pgl","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.65,750,0.13,0.52,40,7,84,9,0,0,0.13,1.65,1500,0.13,0.52,40,7,84,9,0,0,0.13,10.7,4.6,2.4,1067.7,464.2,0,235.9,0,0,612.18,337.35,10,288.84,0.2,0,26,0.2
3,"pgl//gl","B",0.5,1000,0.5,1.54,250,0.12,1.45,20,7,84,9,0,0.2,0,0.16,1.6,750,0.1,0.52,18,7,84,9,0,0,0.13,1.7,1500,0.15,0.12,2.5,14,70,16,0,0,0.17,9,3.5,2.1,903.9,353.1,0,214.8,0,0,612.86,341.73,10,313.66,0.2,0,27,0.16
3,"pgl//gs","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.65,750,0.13,0.52,40,7,84,9,0,0,0.13,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,9,3.5,2.1,899.3,353.5,0,212,0,0,611.34,339.32,10,311.06,0.2,0,28,0.16
3,"pgl//pl","B",0.5,1000,0.5,1.54,250,0.12,1.45,20,7,84,9,0,0.2,0,0.16,1.6,750,0.1,0.52,18,7,84,9,0,0,0.16,1.73,1500,0.09,0.06,80,2,94,4,0,0,0.08,8.3,3.5,2.2,825.2,345.2,0,215.7,0,0,612.53,338.66,10,308.93,0.2,0,29,0.24
3,"pgl//ps","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.65,750,0.13,0.52,40,7,84,9,0,0,0.13,1.63,1500,0.09,0.06,40,5,89,6,0,0,0.1,8.4,3.4,2.1,841.6,340.4,0,213.6,0,0,612.18,338.66,10,311.06,0.2,0,30,0.22
3,"pgl/gl","B",0.5,1000,0.5,1.54,250,0.11,1.45,20,7,84,9,0,0.2,0,0.16,1.56,750,0.13,0.7,2.52,11.2,67.8,26.9,0,0,0.15,1.62,1500,0.11,0.4,2.4,11.2,67.8,26.9,0,0,0.15,10.5,4.7,2.6,1048.3,465.9,0,263.6,0,0,612.18,325.9,10,286.1,0.16,0,31,0.16
3,"pgl/gs","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.67,750,0.18,0.3,7.5,9,59.4,31.6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,9,3.5,2.1,896.5,347.4,0,214.3,0,0,611.34,328.95,10,312.4,0.22,0,32,0.16
3,"pgl/pgm","B",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,1.55,750,0.11,0.29,100,5,89,6,0,0,0.1,1.63,1500,0.09,0.06,100,5,89,6,0,0,0.1,8.5,3.3,2.1,846.8,331.8,0,214.1,0,0,612.78,338.66,10,307.34,0.22,0,33,0.22
3,"pgl/pl","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.5,750,0.19,0.8,90,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,9.8,3.7,2.5,979.3,371.5,0,250.8,0,0,616.17,356.16,10,329.05,0.16,0,34,0.16
3,"pgl/ps","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.55,750,0.11,0.29,45,5,89,6,0,0,0.1,1.63,1500,0.09,0.06,40,5,89,6,0,0,0.1,8.4,3.3,2,836.1,330.5,0,204,0,0,612.76,338.66,10,312.41,0.22,0,35,0.22
3,"pgl/ps//gl","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.55,750,0.11,0.29,45,5,89,6,0,0,0.1,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,10.2,4.4,2.2,1024.4,442,0,217.9,0,0,612.76,337.35,10,290.19,0.22,0,36,0.16
3,"pgl/ps//pl","B",0.5,1000,0.5,1.5,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.55,750,0.11,0.29,45,5,89,6,0,0,0.1,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,9.6,3.4,2.1,956.4,344.8,0,205.2,0,0,612.64,350.43,10,320.53,0.22,0,37,0.16
3,"pglp//gl","B",0.5,1000,0.5,1.56,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.66,750,0.13,0.7,18,7,84,9,0,0,0.15,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,10.5,4.7,2.4,1046.8,465,0,242.9,0,0,612.18,337.35,10,288.84,0.16,0,38,0.16
3,"pglp/gl","B",0.5,1000,0.5,1.56,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.56,750,0.13,0.6,2.42,11.2,67.8,26.9,0,0,0.15,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,10.6,4.7,2.5,1058,468,0,252.3,0,0,612.18,325.9,10,285.84,0.16,0,39,0.16
3,"pglp/glp","B",0.5,1000,0.5,1.56,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.51,750,0.18,2,1.8,12.2,63.8,30,0,0,0.15,1.51,1500,0.16,0.3,1.8,12.2,63.8,30,0,0,0.15,10.2,4.7,3.2,1015.4,473.6,0,319.1,0,0,612.86,333.44,10,308.38,0.16,0,40,0.16
3,"pglp/pl","B",0.5,1000,0.5,1.56,250,0.13,1.45,20,7,84,9,0,0.2,0,0.16,1.5,750,0.19,0.8,90,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,9.8,3.7,2.5,979.3,371.5,0,250.4,0,0,616.17,356.16,10,329.05,0.16,0,41,0.16
3,"pgm//gl","C",0.5,1000,0.5,1.5,250,0.12,1.45,5,9,78,13,0,0.2,0,0.17,1.57,750,0.11,0.7,4.5,9,78,13,0,0,0.15,1.62,1500,0.11,0.4,2.4,11.2,67.8,26.9,0,0,0.15,11.8,3.6,2.2,1176.9,364.3,0,222,0,0,612.41,332.73,10,286.07,0.16,0,42,0.16
