soilRastID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3
1,,,pl,,1,3,A,1000,0.5,0.5,pl-pl-pl,200,1.35,0.19,100,2,22,30,48,0,0.16,0.17,0,750,1.5,0.19,90,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
2,,,ps-pl,,1,3,A,1000,0.5,0.5,ps-pl-pl,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.56,0.11,90,0.89,2,4,94,0,0.24,0.08,0,1500,1.62,0.15,80,0.69,2,4,94,0,0.24,0.08
3,,,ps,,1,3,B,1000,0.5,0.5,ps-ps-ps,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,50,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,30,0.06,5,6,89,0,0.22,0.1
4,,,pgl-gl,,1,3,B,1000,0.5,0.5,pgl-pgl-gl,250,1.54,0.12,20,1.45,7,9,84,0,0.2,0.16,0,750,1.6,0.1,18,0.52,7,9,84,0,0.2,0.13,0,1500,1.7,0.15,2.5,0.12,14,16,70,0,0.16,0.17
5,,,ps-pl,,1,3,A,1000,0.5,0.5,ps-ps-pl,250,1.46,0.12,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,50,0.69,5,6,89,0,0.22,0.1,0,1500,1.61,0.15,85,0.39,2,4,94,0,0.24,0.08
6,,,gl,,1,3,C,1000,0.5,0.5,gl-gl-gl,250,1.51,0.15,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,750,1.56,0.13,2.42,0.6,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
7,,,pgl,,1,3,B,1000,0.5,0.5,pgl-pgl-pgl,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
9,,,Tn,,1,3,B,1000,0.5,0.5,tn-tn-tn,200,0.64,0.34,120,40,80,0,0,0,0.01,0.03,0,650,0.64,0.3,120,36,80,0,0,0,0.01,0.01,0,1500,0.64,0.28,120,32,80,0,0,0,0.01,0.01
10,,,M-pl,,1,3,A,1000,0.5,0.5,M-pl-pl,250,0.7,0.3,252,17.4,5,6,89,0,0.22,0.1,0,750,1.5,0.19,90,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
11,,,pgl-gl,,1,3,B,1000,0.5,0.5,pgl-gl-gl,250,1.54,0.11,20,1.45,7,9,84,0,0.2,0.16,0,750,1.56,0.13,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.4,0.4,11.2,26.9,67.8,0,0.16,0.15
12,,,plz,,1,3,C,1000,0.5,0.5,plz-plz-plz,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.61,0.11,9,0.68,1,90,9,0,0.24,0.08,0,1500,1.67,0.11,2,0.58,1,90,9,0,0.24,0.08
13,,,glp,,1,3,C,1000,0.5,0.5,glp-glp-glp,250,1.51,0.2,1.8,2,12.2,30,63.8,0,0.16,0.18,0,750,1.51,0.18,1.8,2,12.2,30,63.8,0,0.16,0.15,0,1500,1.51,0.16,1.8,0.3,12.2,30,63.8,0,0.16,0.15
14,,,pgm-gl,,1,3,C,1000,0.5,0.5,pgm-gl-gl,250,1.5,0.11,5,1.45,9,13,78,0,0.2,0.17,0,750,1.56,0.13,4.5,0.7,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.3,11.2,26.9,67.8,0,0.22,0.1
15,,,pgm-gl,,1,3,C,1000,0.5,0.5,pgm-pgm-gl,250,1.5,0.12,5,1.45,9,13,78,0,0.2,0.17,0,750,1.57,0.11,4.5,0.7,9,13,78,0,0.16,0.15,0,1500,1.62,0.11,2.4,0.4,11.2,26.9,67.8,0,0.16,0.15
16,,,pls,,1,3,B,1000,0.5,0.5,pls-pls-pls,200,1.35,0.19,1.8,2,22,30,48,0,0.16,0.17,0,750,1.5,0.19,60,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,50,0.2,30,15,35,20,0.16,0.15
17,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,ps-gl,,1,3,B,1000,0.5,0.5,ps-ps-gl,250,1.46,0.12,50,1.04,5,6,89,0,0.22,0.11,0,750,1.56,0.11,50,0.7,5,6,89,0,0.16,0.15,0,1500,1.62,0.09,2.4,0.06,11.2,26.9,67.8,0,0.22,0.1
